entity_id,ticker,market_id,market_name,submarket,value_chain_role,assignment_type,relevance_tier,exposure_weight,exposure_type,weight_basis,rev_q0,rev_q1,rev_q2,rev_q3,rev_q4,rev_q5,rev_q6,rev_q7,rev_q8,rev_q9,rev_q10,rev_q11,source,as_of_date,confidence_score,notes
ENT003587,SNDK,MKT0001,Memory Semiconductors,NAND,manufacturer,focal_market_member,important,0.7,single_market_with_out_of_scope_estimate,Text-supported estimate from Task 3 NAND and finished-storage notes,3025.0,2308.0,1901.0,1695.0,1876.0,1883.0,1760.0,1705.0,1665.0,1533.0,1365.736,1543.15,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.74,"Company text identifies NAND flash manufacturing through Kioxia JV, but exposure includes finished storage devices; human review useful"
ENT003975,TSE:285A,MKT0001,Memory Semiconductors,NAND,manufacturer,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,3467.29972,3029.59004,2375.99472,2317.85416,2861.96416,3356.79603,2663.70769,2129.4107,1858.65682,1616.20752,1736.69473,1844.53188,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.93,Company text identifies a NAND flash memory manufacturer
ENT004295,TWSE:2408,MKT0001,Memory Semiconductors,DRAM,manufacturer,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,1534.92806,958.33443,616.02375,359.9403,216.02272,200.58249,256.05595,305.39442,297.21755,284.09093,240.40939,225.45064,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.91,Company text identifies specialty DRAM manufacturing and niche memory products
ENT004314,TWSE:6239,MKT0001,Memory Semiconductors,OSAT,service_provider,upstream_participant,important,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,681.70928,655.04275,617.56347,465.64693,521.58111,576.24924,602.92064,573.26121,621.24982,573.3055,552.39495,515.98126,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.85,Company text identifies memory IC packaging and testing with DRAM and NAND exposure
ENT000037,ACLS,MKT0002,Semiconductor Manufacturing Equipment,ion implantation,equipment_provider,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,238.33,213.611,194.544,192.563,252.417,256.564,256.512,252.372,310.288,292.326,273.97,254.02,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.91,Company text identifies ion implantation equipment for semiconductor fabrication
ENT000039,ACMR,MKT0002,Semiconductor Manufacturing Equipment,cleaning; electroplating,equipment_provider,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,244.43,269.16,215.372,172.347,223.471,203.976,202.48,152.191,170.321,168.569,144.577,74.256,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.89,"Company text identifies wafer processing tools for cleaning, electroplating, furnace, track, and advanced packaging"
ENT000071,AEHR,MKT0002,Semiconductor Manufacturing Equipment,test,equipment_provider,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,10.313,9.884,10.969,14.089,18.307,13.453,13.119,16.6,7.563,21.431,20.624,22.269,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.88,Company text identifies semiconductor test and burn-in equipment
ENT000073,AEIS,MKT0002,Semiconductor Manufacturing Equipment,power subsystems,component_supplier,upstream_participant,important,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,489.4,463.3,441.5,404.6,415.4,374.2,364.9,327.5,405.271,409.991,415.508,425.04,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.80,Company text identifies RF and DC power supplies for semiconductor etch and deposition; supplier to equipment OEMs
ENT000160,AMAT,MKT0002,Semiconductor Manufacturing Equipment,deposition; etch; CMP,equipment_provider,focal_market_member,core,0.75,task3_multi_market_estimate,Text-supported estimate from Task 3 focal equipment assignment notes,7012.0,6800.0,7302.0,7100.0,7166.0,7045.0,6778.0,6646.0,6707.0,6723.0,6425.0,6630.0,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.94,"Company text identifies semiconductor systems for deposition, etch, CMP, ion implant, and inspection/metrology"
ENT000263,ASML,MKT0002,Semiconductor Manufacturing Equipment,lithography,equipment_provider,focal_market_member,core,0.75,task3_multi_market_estimate,Text-supported estimate from Task 3 focal equipment assignment notes,11410.23835,8788.58747,8788.58747,9011.95079,8385.50693,9589.81261,8336.83153,6688.95318,5707.19603,7999.33679,7062.87045,7535.26201,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.95,Company text identifies EUV and DUV lithography systems for semiconductor manufacturing
ENT000679,CAMT,MKT0002,Semiconductor Manufacturing Equipment,inspection; metrology,equipment_provider,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,128.124,125.993,123.317,118.638,117.293,112.34,102.591,97.01,88.69,80.47,73.758,72.457,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.90,Company text identifies inspection and metrology equipment for semiconductor industry
ENT000841,COHU,MKT0002,Semiconductor Manufacturing Equipment,test; inspection,equipment_provider,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,122.23,126.249,107.68,96.797,94.122,95.342,104.701,107.614,137.226,150.804,168.921,179.371,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.88,"Company text identifies semiconductor test equipment, handlers, ATE, inspection, and metrology systems"
ENT001463,FORM,MKT0002,Semiconductor Manufacturing Equipment,test; metrology,equipment_provider,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,215.163,202.676,195.798,171.356,189.483,207.917,197.474,168.725,168.163,171.575,155.916,167.448,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.89,Company text identifies wafer probe cards and metrology/inspection systems used during semiconductor manufacturing
ENT001805,ICHR,MKT0002,Semiconductor Manufacturing Equipment,fluid delivery subsystems,component_supplier,upstream_participant,important,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,223.606,239.296,240.285,244.465,233.291,211.139,203.227,201.383,203.481,196.761,185.008,225.87,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.82,Company text identifies critical fluid delivery subsystems and precision components for semiconductor capital equipment
ENT001993,KLAC,MKT0002,Semiconductor Manufacturing Equipment,inspection; metrology,equipment_provider,focal_market_member,core,0.75,task3_multi_market_estimate,Text-supported estimate from Task 3 focal equipment assignment notes,3297.146,3209.696,3174.741,3063.029,3076.851,2841.541,2568.735,2359.83,2486.726,2396.956,2355.137,2432.608,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.94,Company text identifies process control and yield management equipment for semiconductor manufacturing
ENT001996,KLIC,MKT0002,Semiconductor Manufacturing Equipment,assembly; packaging,equipment_provider,focal_market_member,core,0.7,task3_multi_market_estimate,Text-supported estimate from Task 3 focal equipment assignment notes,199.625,177.558,148.413,161.986,166.124,181.319,181.65,172.074,171.189,202.32,190.917,173.021,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.88,Company text identifies semiconductor assembly technology and advanced packaging equipment
ENT002199,LRCX,MKT0002,Semiconductor Manufacturing Equipment,etch; deposition; clean,equipment_provider,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,5344.791,5324.173,5171.393,4720.175,4376.047,4167.976,3871.507,3793.558,3758.259,3482.062,3207.257,3869.569,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.94,"Company text identifies wafer fabrication equipment for etch, deposition, and clean systems"
ENT002451,MKSI,MKT0002,Semiconductor Manufacturing Equipment,vacuum; gas delivery,component_supplier,upstream_participant,important,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,1033.0,988.0,973.0,936.0,934.0,896.0,887.0,868.0,892.0,932.0,1003.0,794.0,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.82,"Company text identifies vacuum, gas delivery, plasma, optical metrology, and photonics subsystems for semiconductor manufacturing"
ENT002740,NVMI,MKT0002,Semiconductor Manufacturing Equipment,metrology,equipment_provider,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,222.624,224.608,219.989,213.356,194.766,178.974,156.858,141.798,134.219,128.808,122.702,132.193,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.90,Company text identifies metrology and process control solutions for semiconductor manufacturing
ENT002887,ONTO,MKT0002,Semiconductor Manufacturing Equipment,inspection; metrology; lithography,equipment_provider,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,266.866,218.193,253.597,266.607,263.939,252.21,242.327,228.846,218.856,207.185,190.662,199.165,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.90,"Company text identifies metrology, inspection, and lithography solutions across the semiconductor value chain"
ENT003866,TER,MKT0002,Semiconductor Manufacturing Equipment,test,equipment_provider,focal_market_member,core,0.85,single_market_with_out_of_scope_estimate,Text-supported estimate from Task 3 semiconductor test and robotics notes,1083.337,769.21,651.797,685.68,752.884,737.298,729.879,599.819,670.599,703.732,684.437,617.529,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.87,Company text identifies automated test equipment for semiconductors; robotics exposure is non-core
ENT004329,UCTT,MKT0002,Semiconductor Manufacturing Equipment,equipment components,component_supplier,upstream_participant,important,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,506.7,510.0,518.8,518.6,563.3,540.4,516.1,477.7,444.7,435.0,421.5,433.3,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.80,Company text identifies outsourced components tied to wafer fab equipment spending; upstream to tool OEMs
ENT004394,VECO,MKT0002,Semiconductor Manufacturing Equipment,annealing; deposition; lithography,equipment_provider,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,165.017,165.881,166.104,167.292,182.131,184.807,175.879,174.484,173.924,177.366,161.641,153.504,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.88,"Company text identifies semiconductor process equipment including laser annealing, ion beam deposition, MOCVD, wet processing, and packaging lithography"
ENT000763,CHRW,MKT0003,Container Shipping,,distributor,downstream_participant,peripheral,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,3912.634,4136.846,4136.543,4046.74,4184.656,4644.641,4483.348,4412.311,4221.887,4341.03,4421.856,4611.67,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.78,"Company text identifies ocean freight and freight forwarding; downstream intermediary, not vessel operator"
ENT000812,CMRE,MKT0003,Container Shipping,,equipment_provider,upstream_participant,important,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,211.972,225.168,217.895,446.226,224.005,225.745,0.0,475.43,494.847,400.37,367.42,248.769,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.78,Company text identifies containership owner with container vessels; upstream vessel capacity rather than liner service
ENT000877,CPSE:DSV,MKT0003,Container Shipping,,distributor,downstream_participant,important,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,11269.66709,11308.33811,9758.09043,6039.03058,6040.70821,6594.97616,5913.17518,5545.16619,5416.99662,5045.99777,5529.94515,5972.57406,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.82,"Company text identifies largest freight forwarder following DB Schenker acquisition; downstream intermediary, not vessel operator"
ENT000882,CPSE:MAERSK B,MKT0003,Container Shipping,,transport_operator,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,13331.0,14206.0,13130.0,13321.0,14594.0,15762.0,12771.0,12355.0,11741.0,12129.0,12988.0,14207.0,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.93,Company text identifies one of the world largest container shipping lines operating vessels and logistics
ENT000904,CRGO,MKT0003,Container Shipping,,distributor,downstream_participant,peripheral,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,7.405,7.672,7.438,6.945,6.587,6.185,5.658,5.355,5.258,5.107,5.093,4.823,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.74,Company text identifies digital booking platform for international container shipping and Freightos Baltic Index; peripheral channel role
ENT000998,DAC,MKT0003,Container Shipping,,equipment_provider,upstream_participant,important,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,266.265,260.73,262.154,253.307,258.179,256.176,246.306,253.449,249.315,239.215,241.479,243.574,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.78,Company text identifies container vessel chartering as majority revenue; not a direct liner operator
ENT001010,DB:DHL,MKT0003,Container Shipping,,distributor,downstream_participant,important,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,26617.35354,23616.09762,22951.26248,22797.23302,24111.19164,22966.76332,21816.13629,22148.02028,24185.91798,20531.32939,21650.65503,23011.73402,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.82,"Company text identifies global freight forwarding and supply chain logistics; downstream intermediary, not vessel operator"
ENT001332,ESEA,MKT0003,Container Shipping,,equipment_provider,upstream_participant,important,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,57.38733,56.90642,57.23372,56.3461,53.30819,54.14616,58.72459,46.71837,49.05895,50.66623,47.69559,41.93662,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.78,Company text identifies feeder and intermediate containerships chartered to liner companies; upstream vessel capacity rather than direct liner service
ENT001376,EXPD,MKT0003,Container Shipping,,distributor,downstream_participant,important,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,2855.954,2894.751,2651.885,2666.419,2954.705,3000.131,2439.001,2206.678,2277.768,2190.001,2239.752,2592.589,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.82,Company text identifies global freight forwarding with air/ocean freight consolidation and customs brokerage
ENT001638,GSL,MKT0003,Container Shipping,,equipment_provider,upstream_participant,important,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,187.351,189.313,188.54,187.761,181.43,172.546,173.495,178.058,177.377,173.012,160.399,155.927,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.78,Company text identifies containership owner and lessor; not a direct liner operator
ENT002374,MATX,MKT0003,Container Shipping,,transport_operator,focal_market_member,core,0.75,single_market_with_out_of_scope_estimate,Text-supported estimate from Task 3 ocean transportation and logistics notes,851.9,880.1,830.5,782.0,890.3,962.0,847.4,722.1,788.9,827.5,773.4,704.8,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.84,"Company text identifies ocean transportation services including containerized freight on Hawaii, Alaska, Guam, and China routes; logistics exposure also present"
ENT003492,SHSE:601919,MKT0003,Container Shipping,,transport_operator,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,7420.94497,8217.13162,7138.51939,7987.37947,8099.86859,10480.12439,7285.69696,6686.52643,5757.86866,5863.2387,6134.52279,6893.5826,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.92,Company text identifies a major container shipping company by capacity with vessel and port-terminal operations
ENT004701,ZIM,MKT0003,Container Shipping,,transport_operator,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,1484.7,1777.2,1635.7,2006.6,2167.6,2765.2,1932.6,1562.0,1205.3,1273.0,1309.6,1374.3,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.90,Company text identifies container line services and direct shippers/freight-forwarder customers
ENT000700,CBT,MKT0004,Tire Manufacturing,carbon black; rubber additives,raw_material_supplier,upstream_participant,important,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,849.0,899.0,923.0,936.0,955.0,1001.0,1016.0,1019.0,958.0,965.0,968.0,1033.0,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.82,"Company text identifies carbon black production, a reinforcing filler used in tires"
ENT001277,ENXTPA:ML,MKT0004,Tire Manufacturing,passenger; truck; specialty,manufacturer,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,7610.66103,7605.3033,7650.02936,7040.63986,7098.04328,7646.66518,7222.22222,7272.08976,7883.27622,7548.68756,7685.04367,7648.30508,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.93,"Company text identifies Michelin as a major tire manufacturer with automotive, road transportation, and specialties segments"
ENT001640,GT,MKT0004,Tire Manufacturing,passenger; truck; industrial,manufacturer,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,4917.0,4645.0,4465.0,4253.0,4947.0,4824.0,4570.0,4537.0,5116.0,5142.0,4867.0,4941.0,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.92,"Company text identifies Goodyear as a tire manufacturer producing tires for automobiles, trucks, buses, aircraft, and industrial equipment"
ENT002063,KOSE:A073240,MKT0004,Tire Manufacturing,passenger; truck,manufacturer,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,803.63983,792.8143,902.37288,819.06574,839.8967,848.9319,821.43456,777.1976,818.0955,726.16377,762.35343,766.11814,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.90,Company text identifies Kumho Tire as a tire manufacturer
ENT002471,MNRO,MKT0004,Tire Manufacturing,,distributor,downstream_participant,important,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,293.387,288.914,301.035,294.992,305.769,301.391,293.182,310.077,317.653,322.091,326.968,310.836,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.82,Company text identifies automotive service and tire retail chain; downstream distribution rather than manufacturing
ENT002651,NSEI:BALKRISIND,MKT0004,Tire Manufacturing,off-highway,manufacturer,focal_market_member,important,0.85,single_market_with_out_of_scope_estimate,Text-supported estimate from Task 3 tire manufacturing and carbon black notes,304.57273,269.43435,321.81193,322.11659,299.17528,288.81211,325.63658,321.88731,273.23786,271.19814,263.12295,282.14655,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.86,Company text identifies off-highway tire manufacturing with OEM and replacement exposure; also has carbon black business
ENT002811,OEC,MKT0004,Tire Manufacturing,carbon black; rubber additives,raw_material_supplier,upstream_participant,important,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,411.7,450.9,466.4,477.7,434.2,463.4,477.0,502.9,468.2,466.2,458.8,500.7,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.82,Company text identifies carbon black as a critical reinforcing filler in tires
ENT004028,TSE:5101,MKT0004,Tire Manufacturing,consumer; commercial; off-highway,manufacturer,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,2281.87101,2013.5821,2107.64793,1837.20664,1983.46269,1798.23971,1696.21922,1668.83086,2077.35404,1669.37365,1651.96948,1536.95819,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.88,"Company text identifies tire products including consumer, commercial truck, and off-highway tires"
ENT004029,TSE:5105,MKT0004,Tire Manufacturing,passenger; truck,manufacturer,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,1018.15188,1026.28574,1025.11856,904.92033,920.6844,1026.82466,907.23957,843.32423,1018.74257,962.52054,942.67735,971.60998,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.90,Company text identifies Toyo Tire as a tire manufacturer
ENT004030,TSE:5108,MKT0004,Tire Manufacturing,passenger; truck; specialty,manufacturer,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,7618.73342,7557.91986,7335.16345,7066.19839,7382.55319,7626.74545,6916.67601,7035.23883,7914.58639,7340.8092,7318.63632,7850.06848,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.93,Company text identifies Bridgestone as a major tire manufacturer with tire-related plants
ENT004031,TSE:5110,MKT0004,Tire Manufacturing,passenger; truck,manufacturer,focal_market_member,core,1.0,default_assignment_weight,no exposure row; assignment treated as full exposure for demo.,2203.30633,1955.66563,1971.30508,1921.76203,2142.94621,2009.58382,1838.05777,1926.28352,2317.62446,1938.5184,1967.00909,2081.94293,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.90,Company text identifies Sumitomo Rubber Industries as a tire manufacturer
ENT004604,XTRA:CON,MKT0004,Tire Manufacturing,tires; industrial rubber,manufacturer,focal_market_member,important,0.6,single_market_with_out_of_scope_estimate,Text-supported estimate from Task 3 tire and industrial rubber notes,5829.51744,5807.81415,5702.87728,5301.55642,5370.12113,5569.93085,5354.11979,5285.3598,11549.68498,10838.27266,11382.09607,11197.30552,outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/company_peers_top5.csv,2026-05-28,0.84,Company text identifies Continental tire manufacturing and industrial rubber products; diversified exposure
