value_chain_link_id,market_id,role_category,role_description,direction,related_role_category,relationship_type,relationship_description,source,as_of_date,confidence_score,notes
VCL0001,MKT0001,manufacturer,"Memory chip manufacturer producing DRAM, NAND, NOR, or high-bandwidth memory components",focal,enterprise_customer,defines_market,"Defines the focal market by selling memory components to device, server, storage, and electronics customers","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.88,"Use for focal memory producers; diversified chipmakers may also need non-memory assignments later"
VCL0020,MKT0003,regulator_or_policy_body,"Maritime regulators, port authorities, customs agencies, sanctions authorities, and emissions-rule bodies",policy,transport_operator,regulates,"Shapes route access, port operations, fuel rules, trade compliance, and vessel emissions requirements","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.78,"Regulatory impact is meaningful but varies by lane"
VCL0021,MKT0003,substitute_provider,"Air freight, rail intermodal, trucking, short-sea shipping, or inventory substitution alternatives",substitute,transport_operator,substitutes_for,"Can substitute for container shipping depending on distance, speed, cost, and cargo value","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.78,"Substitutes are partial and lane-specific"
VCL0022,MKT0004,manufacturer,"Tire manufacturer producing consumer, commercial, off-road, replacement, or original-equipment tires",focal,enterprise_customer,defines_market,"Defines the focal market by manufacturing tires for vehicle and fleet applications","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.76,"Retained as client-priority market despite limited local cluster support"
VCL0023,MKT0004,raw_material_supplier,"Natural rubber, synthetic rubber, carbon black, steel cord, fabric, and chemical input suppliers",upstream,manufacturer,supplies_input_to,"Provides commodity and specialty inputs used in tire production","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.82,"Input cost exposure can be important for margins"
VCL0024,MKT0004,equipment_provider,"Tire production equipment, molds, testing equipment, and plant automation suppliers",upstream,manufacturer,supplies_input_to,"Provides manufacturing equipment required to produce and test tires","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.72,"Usually not central for company assignment unless exposure is clear"
VCL0025,MKT0004,distributor,"Tire wholesalers, dealers, auto-service chains, and retail channels selling replacement tires",downstream,manufacturer,distributes_for,"Connects tire manufacturers with replacement-market customers and fleets","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.84,"Distribution role is important because replacement demand differs from original equipment"
VCL0026,MKT0004,enterprise_customer,"Automakers, truck fleets, aircraft operators, mining operators, and commercial vehicle operators buying tires",downstream,manufacturer,buys_from,"Purchases tires for original equipment, fleet operation, or specialty vehicle use","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.82,"Separate OEM and replacement demand in later assignment notes if useful"
VCL0027,MKT0004,consumer_end_market,"Households and individual drivers buying replacement tires through retail and service channels",downstream,distributor,buys_from,"Creates replacement tire demand through vehicle ownership, miles driven, and wear cycles","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.78,"Consumers are downstream demand, not focal manufacturers"
VCL0028,MKT0004,substitute_provider,"Retread providers, mobility alternatives, and lower-mileage behavior reducing replacement tire demand",substitute,manufacturer,substitutes_for,"Can reduce new tire demand in specific commercial or consumer use cases","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.66,"Substitution is partial and varies by vehicle type"
VCL0029,MKT0005,producer,"Flat-rolled steel producer making sheet, plate, coated sheet, or other flat steel products",focal,enterprise_customer,defines_market,"Defines the focal market by producing flat steel products for industrial and construction customers","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.82,"Integrated producers may also produce long steel or raw materials"
VCL0030,MKT0005,raw_material_supplier,"Iron ore, scrap, metallurgical coal, alloy, energy, and electrode suppliers",upstream,producer,supplies_input_to,"Provides raw materials and energy inputs needed for flat steel production","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.84,"Input mix differs between blast furnace and electric arc furnace producers"
VCL0031,MKT0005,equipment_provider,"Steelmaking, rolling mill, coating line, and plant automation equipment providers",upstream,producer,supplies_input_to,"Provides capital equipment for melting, casting, rolling, coating, and processing flat steel","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.72,"Equipment providers are upstream and usually outside focal steel production"
VCL0032,MKT0005,distributor,"Steel service centers and processors cutting, coating, storing, or reselling flat steel",downstream,producer,distributes_for,"Bridges steel producers and smaller industrial customers through inventory, processing, and distribution","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.84,"Service centers can be important but should not be confused with producers"
VCL0033,MKT0005,enterprise_customer,"Automotive, appliance, construction, energy, machinery, and industrial manufacturers buying flat steel",downstream,producer,buys_from,"Purchases flat steel as a production input for durable goods, construction, and industrial applications","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.86,"Demand sensitivity varies by end market"
VCL0034,MKT0005,regulator_or_policy_body,"Trade, tariff, environmental, and industrial-policy authorities affecting steel economics",policy,producer,regulates,"Shapes import competition, emissions costs, domestic capacity, and regional price formation","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.80,"Policy role is material because steel markets are trade-sensitive"
VCL0035,MKT0005,substitute_provider,"Aluminum, plastics, composites, imported steel, and fabricated alternatives",substitute,producer,substitutes_for,"Can replace or cap demand for flat steel in selected customer applications","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.74,"Substitutes differ by application and performance requirements"
VCL0036,MKT0006,producer,"Long steel producer making rebar, structural sections, merchant bar, or wire rod for construction markets",focal,enterprise_customer,defines_market,"Defines the focal market by producing construction-oriented long steel products","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.82,"Boundary intentionally separates long steel from flat steel"
VCL0037,MKT0006,raw_material_supplier,"Scrap, iron ore, billet, energy, alloys, and electrode suppliers for long steel production",upstream,producer,supplies_input_to,"Provides metallics, energy, and consumables needed to make rebar and structural steel","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.82,"Scrap supply is especially relevant for electric arc furnace long steel producers"
VCL0038,MKT0006,equipment_provider,"Mini-mill, rolling mill, casting, fabrication, and plant automation equipment providers",upstream,producer,supplies_input_to,"Provides capital equipment used to produce long steel products","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.70,"Equipment role is useful but not usually central for company assignment"
VCL0039,MKT0006,distributor,"Steel service centers, reinforcing bar fabricators, construction distributors, and stockholders",downstream,producer,distributes_for,"Processes, inventories, fabricates, or resells long steel into construction projects","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.84,"Fabricators may be downstream channel participants rather than producers"
VCL0040,MKT0006,enterprise_customer,"Construction contractors, infrastructure developers, engineering firms, and public works buyers",downstream,producer,buys_from,"Purchases long steel products for buildings, bridges, concrete reinforcement, and infrastructure","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.86,"Demand tied to construction and infrastructure cycles"
VCL0041,MKT0006,regulator_or_policy_body,"Building-code, infrastructure-spending, trade, and environmental-policy authorities",policy,producer,regulates,"Shapes product standards, public demand, import competition, and emissions costs","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.78,"Policy role is relevant through codes, trade rules, and public infrastructure budgets"
VCL0042,MKT0006,substitute_provider,"Concrete systems, engineered wood, imported long steel, and prefabricated construction alternatives",substitute,producer,substitutes_for,"Can replace or reduce demand for domestic rebar and structural steel in selected applications","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.72,"Substitution is project-specific"
VCL0043,MKT0007,producer,"Oil and gas exploration and production operator developing and producing crude oil, natural gas, or natural gas liquids",focal,enterprise_customer,defines_market,"Defines the focal market by exploring for, developing, and producing hydrocarbons","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.86,"Integrated majors may need separate downstream assignments later"
VCL0044,MKT0007,equipment_provider,"Drilling rigs, production equipment, completion tools, pumps, compressors, and field equipment providers",upstream,producer,supplies_input_to,"Provides equipment needed to drill, complete, lift, and process hydrocarbons at the field level","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.82,"Equipment providers are upstream, not focal E&P operators"
VCL0045,MKT0007,service_provider,"Seismic, drilling, completion, pressure pumping, field services, and engineering service providers",upstream,producer,supplies_service_to,"Provides specialized services required for exploration, development, and production operations","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.84,"Oilfield services should be separate from E&P producers"
VCL0046,MKT0007,raw_material_supplier,"Mineral-rights owners, acreage holders, water suppliers, proppant suppliers, and chemical input providers",upstream,producer,supplies_input_to,"Provides access rights or field inputs needed for upstream development and production","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.72,"Mineral ownership and field consumables vary by basin"
VCL0047,MKT0007,transport_operator,"Midstream pipeline, gathering, processing, storage, and export infrastructure operators",downstream,producer,distributes_for,"Moves, processes, stores, or exports produced oil, gas, and natural gas liquids from E&P operators to customers","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.84,"Midstream is downstream of E&P but can also be a separate market"
VCL0048,MKT0007,enterprise_customer,"Refiners, LNG buyers, utilities, industrial users, petrochemical plants, and commodity traders",downstream,producer,buys_from,"Purchases produced hydrocarbons for refining, power, heating, industrial feedstock, or resale","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.84,"Customers depend on commodity type and region"
VCL0049,MKT0007,regulator_or_policy_body,"Leasing, environmental, safety, royalty, tax, and production-policy authorities",policy,producer,regulates,"Shapes drilling access, permitting, fiscal terms, emissions obligations, and production constraints","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.84,"Policy role is material for basin economics and project timing"
VCL0050,MKT0007,substitute_provider,"Renewable power, energy efficiency, electrification, coal, nuclear, and imported hydrocarbon alternatives",substitute,producer,substitutes_for,"Can reduce or displace demand for oil and gas in power, heating, transport, or industrial uses","WORK.md; market_definitions_v0.csv; analyst-defined v0 value-chain review",2026-05-24,0.74,"Substitution differs sharply between oil, gas, power, and transport end uses"
