exposure_id,entity_id,ticker,market_id,submarket,exposure_type,exposure_weight,weight_basis,source,as_of_date,confidence_score,notes
EXP0011,ENT002679,NSEI:JSWSTEEL,MKT0005,HRC; CRC; galvanized; tinplate,task3_multi_market_estimate,0.75,Text-supported estimate from Task 3 steel product mix notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies flat steel products as the majority of revenue, with additional long and special steel exposure.
EXP0012,ENT002679,NSEI:JSWSTEEL,MKT0006,rebar; wire rod,task3_multi_market_estimate,0.25,Text-supported estimate from Task 3 steel product mix notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 notes long products including TMT rebar and wire rod but says flat products are larger.
EXP0013,ENT002702,NSEI:TATASTEEL,MKT0005,hot-rolled; cold-rolled; galvanized,task3_multi_market_estimate,0.70,Text-supported estimate from Task 3 steel product mix notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies flat products as the majority of product mix, with long products and tubes also present.
EXP0014,ENT002702,NSEI:TATASTEEL,MKT0006,rebar; wire rod; structural,task3_multi_market_estimate,0.30,Text-supported estimate from Task 3 steel product mix notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies long products including rebars wire rods and structural sections, but flat products are larger.
EXP0015,ENT002732,NUE,MKT0005,sheet; plate,task3_multi_market_estimate,0.55,Text-supported estimate from Task 3 diversified steel notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies diversified steel production including sheet and plate plus long products and downstream fabrication; flat products receive a slight majority estimate.
EXP0016,ENT002732,NUE,MKT0006,rebar; structural; merchant bar,task3_multi_market_estimate,0.45,Text-supported estimate from Task 3 diversified steel notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies bar structural steel rebar joists and deck alongside flat products, so long steel receives a material minority estimate.
EXP0017,ENT003241,RS,MKT0005,flat rolled distribution and processing,task3_multi_market_estimate,0.55,Text-supported estimate from Task 3 service-center notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies metals service centers distributing and processing carbon steel including flat rolled products.
EXP0018,ENT003241,RS,MKT0006,structural and carbon steel distribution,task3_multi_market_estimate,0.45,Text-supported estimate from Task 3 service-center notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies structural pipe/tube and carbon steel distribution; downstream channel role supports a near-balanced long steel exposure.
EXP0019,ENT003263,RYI,MKT0005,carbon flat-rolled products and processing,task3_multi_market_estimate,0.50,Text-supported estimate from Task 3 service-center notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies carbon flat-rolled products and processing services, but also broad long product distribution.
EXP0020,ENT003263,RYI,MKT0006,bars plates structural and tubing distribution,task3_multi_market_estimate,0.50,Text-supported estimate from Task 3 service-center notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies bars plates structural and tubing service-center activity, supporting an even split with flat-rolled exposure in v0.
EXP0021,ENT003658,STLD,MKT0005,hot-rolled; cold-rolled; coated,task3_multi_market_estimate,0.60,Text-supported estimate from Task 3 diversified steel notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies flat-rolled steel as the majority of steel tons, with long products also material.
EXP0022,ENT003658,STLD,MKT0006,structural; rebar; merchant bar,task3_multi_market_estimate,0.40,Text-supported estimate from Task 3 diversified steel notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies long products including structural beams rail rebar and merchant bar alongside flat products.
EXP0023,ENT004041,TSE:5401,MKT0005,hot-rolled; cold-rolled; coated; electrical,task3_multi_market_estimate,0.70,Text-supported estimate from Task 3 diversified steel notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies flat products and broader steelmaking operations; flat exposure is estimated as the majority.
EXP0024,ENT004041,TSE:5401,MKT0006,bars; shapes,task3_multi_market_estimate,0.30,Text-supported estimate from Task 3 diversified steel notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies long products including bars and shapes, but broader steel mix is diversified and flat exposure appears larger.
EXP0025,ENT004315,TX,MKT0005,hot-rolled; cold-rolled; galvanized,task3_multi_market_estimate,0.75,Text-supported estimate from Task 3 steel shipment mix notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies flat steel as the large majority of shipments, with long steel also present.
EXP0026,ENT004315,TX,MKT0006,rebar; wire rod; structural,task3_multi_market_estimate,0.25,Text-supported estimate from Task 3 steel shipment mix notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies long steel products including rebar wire rod and structural shapes, though flat steel dominates.
EXP0027,ENT004632,XTRA:KCO,MKT0005,flat-roll plate and processing services,task3_multi_market_estimate,0.50,Text-supported estimate from Task 3 service-center notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies flat-roll plate and processing services alongside long products in a distributor/service-center role.
EXP0028,ENT004632,XTRA:KCO,MKT0006,bar tube and structural distribution,task3_multi_market_estimate,0.50,Text-supported estimate from Task 3 service-center notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies long products including bar tube and structural products; v0 uses an even split because evidence is mixed.
EXP0029,ENT002041,KOSE:A005930,MKT0001,DRAM; NAND; HBM,single_market_with_out_of_scope_estimate,0.35,Text-supported estimate from Task 3 diversified memory-company notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.70,Task 3 identifies memory products but flags material non-memory electronics exposure; memory receives a minority company-level weight.
EXP0030,ENT002041,KOSE:A005930,OUT_OF_SCOPE_CURRENT_MARKETS,,balancing_sentinel,0.65,Balancing row for material non-memory electronics activity outside current Theta markets,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv,2026-05-28,0.70,Out-of-scope row prevents Samsung from being treated as a pure memory semiconductor company in market aggregation.
EXP0031,ENT003587,SNDK,MKT0001,NAND,single_market_with_out_of_scope_estimate,0.70,Text-supported estimate from Task 3 NAND and finished-storage notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.68,Task 3 identifies NAND flash manufacturing through Kioxia JV but flags finished storage device exposure; memory semiconductor exposure receives the majority weight.
EXP0032,ENT003587,SNDK,OUT_OF_SCOPE_CURRENT_MARKETS,,balancing_sentinel,0.30,Balancing row for finished storage device activity outside current Theta market definitions,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv,2026-05-28,0.68,Out-of-scope row captures finished storage device exposure not covered by the memory semiconductor market definition.
EXP0033,ENT003866,TER,MKT0002,test,single_market_with_out_of_scope_estimate,0.85,Text-supported estimate from Task 3 semiconductor test and robotics notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.78,Task 3 identifies semiconductor automated test equipment and notes robotics exposure is non-core; semiconductor equipment receives most of the weight.
EXP0034,ENT003866,TER,OUT_OF_SCOPE_CURRENT_MARKETS,,balancing_sentinel,0.15,Balancing row for non-core robotics activity outside current Theta markets,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv,2026-05-28,0.78,Out-of-scope row avoids assigning Teradyne robotics activity to semiconductor manufacturing equipment.
EXP0035,ENT002374,MATX,MKT0003,containerized ocean transportation,single_market_with_out_of_scope_estimate,0.75,Text-supported estimate from Task 3 ocean transportation and logistics notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies containerized ocean transportation but also logistics exposure; container shipping receives the majority weight.
EXP0036,ENT002374,MATX,OUT_OF_SCOPE_CURRENT_MARKETS,,balancing_sentinel,0.25,Balancing row for logistics activity outside current Theta markets,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv,2026-05-28,0.75,Out-of-scope row prevents non-container logistics exposure from being counted as container shipping.
EXP0037,ENT002651,NSEI:BALKRISIND,MKT0004,off-highway tires,single_market_with_out_of_scope_estimate,0.85,Text-supported estimate from Task 3 tire manufacturing and carbon black notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.78,Task 3 identifies off-highway tire manufacturing and notes a carbon black business; tire manufacturing receives most of the weight.
EXP0038,ENT002651,NSEI:BALKRISIND,OUT_OF_SCOPE_CURRENT_MARKETS,,balancing_sentinel,0.15,Balancing row for carbon black activity outside the focal tire-manufacturing exposure,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv,2026-05-28,0.78,Out-of-scope row avoids treating the company's carbon black business as tire manufacturing exposure.
EXP0039,ENT004604,XTRA:CON,MKT0004,tires,single_market_with_out_of_scope_estimate,0.60,Text-supported estimate from Task 3 tire and industrial rubber notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.74,Task 3 identifies tire manufacturing and industrial rubber products; tire exposure receives a majority but not pure-play weight.
EXP0040,ENT004604,XTRA:CON,OUT_OF_SCOPE_CURRENT_MARKETS,,balancing_sentinel,0.40,Balancing row for industrial rubber and other activity outside current Theta markets,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv,2026-05-28,0.74,Out-of-scope row prevents Continental's industrial rubber exposure from being counted as tire manufacturing.
EXP0041,ENT004636,XTRA:LXS,MKT0004,rubber additives,single_market_with_out_of_scope_estimate,0.30,Text-supported estimate from Task 3 tire-additive and specialty-chemicals notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.66,Task 3 identifies rubber additives sold to tire manufacturers but flags broader specialty chemicals exposure; tire-market exposure is minority-weighted.
EXP0042,ENT004636,XTRA:LXS,OUT_OF_SCOPE_CURRENT_MARKETS,,balancing_sentinel,0.70,Balancing row for specialty chemicals activity outside current Theta markets,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv,2026-05-28,0.66,Out-of-scope row prevents broader specialty chemicals activity from being treated as tire-market exposure.
EXP0043,ENT002039,KOSE:A005490,MKT0005,hot-rolled; cold-rolled; electrical; plate,single_market_with_out_of_scope_estimate,0.75,Text-supported estimate from Task 3 steel products and holding-company notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.76,Task 3 identifies major flat steel products but notes holding-company non-steel exposure; flat-rolled steel receives the majority weight.
EXP0044,ENT002039,KOSE:A005490,OUT_OF_SCOPE_CURRENT_MARKETS,,balancing_sentinel,0.25,Balancing row for non-steel holding-company activity outside current Theta markets,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv,2026-05-28,0.76,Out-of-scope row avoids treating non-steel holding-company exposure as flat-rolled steel.
EXP0045,ENT000554,BME:REP,MKT0007,oil and gas E&P,single_market_with_out_of_scope_estimate,0.35,Text-supported estimate from Task 3 integrated energy notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.65,Task 3 identifies upstream E&P production but flags refining chemicals customer and low-carbon generation; E&P receives a minority company-level weight.
EXP0046,ENT000554,BME:REP,OUT_OF_SCOPE_CURRENT_MARKETS,,balancing_sentinel,0.65,Balancing row for refining chemicals customer and low-carbon generation outside current Theta markets,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv,2026-05-28,0.65,Out-of-scope row prevents integrated downstream and low-carbon activity from being counted as oil and gas E&P.
EXP0047,ENT001303,ENXTPA:TTE,MKT0007,upstream E&P and LNG-linked production,single_market_with_out_of_scope_estimate,0.40,Text-supported estimate from Task 3 integrated energy notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.65,Task 3 identifies upstream E&P and LNG exposure but flags refining chemicals fuel retail and power; E&P receives a minority-to-material weight.
EXP0048,ENT001303,ENXTPA:TTE,OUT_OF_SCOPE_CURRENT_MARKETS,,balancing_sentinel,0.60,Balancing row for refining chemicals fuel retail and power outside current Theta markets,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv,2026-05-28,0.65,Out-of-scope row prevents integrated downstream and power activity from being counted as oil and gas E&P.
EXP0049,ENT002584,NFG,MKT0007,gas-weighted E&P,single_market_with_out_of_scope_estimate,0.55,Text-supported estimate from Task 3 upstream gathering utility and pipeline notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.68,Task 3 identifies upstream and gathering earnings with utility and pipeline segments; E&P receives a slight majority weight.
EXP0050,ENT002584,NFG,OUT_OF_SCOPE_CURRENT_MARKETS,,balancing_sentinel,0.45,Balancing row for utility pipeline and gathering activity outside current Theta markets,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv,2026-05-28,0.68,Out-of-scope row prevents utility and pipeline exposure from being counted as oil and gas E&P.
EXP0051,ENT002927,OXY,MKT0007,oil-weighted E&P,single_market_with_out_of_scope_estimate,0.80,Text-supported estimate from Task 3 upstream EBITDA and non-upstream notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.75,Task 3 identifies primarily upstream oil and gas EBITDA but also midstream chemicals and low-carbon exposure; E&P receives most of the weight.
EXP0052,ENT002927,OXY,OUT_OF_SCOPE_CURRENT_MARKETS,,balancing_sentinel,0.20,Balancing row for midstream chemicals and low-carbon activity outside current Theta markets,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv,2026-05-28,0.75,Out-of-scope row prevents non-upstream activity from being counted as oil and gas E&P.
EXP0053,ENT003414,SET:PTT,MKT0007,upstream E&P,single_market_with_out_of_scope_estimate,0.20,Text-supported estimate from Task 3 integrated energy conglomerate notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.60,Task 3 identifies upstream E&P revenue within an integrated energy conglomerate; E&P receives a minority weight.
EXP0054,ENT003414,SET:PTT,OUT_OF_SCOPE_CURRENT_MARKETS,,balancing_sentinel,0.80,Balancing row for integrated energy activity outside current Theta markets,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv,2026-05-28,0.60,Out-of-scope row prevents broader integrated energy activity from being counted as oil and gas E&P.
EXP0055,ENT003459,SHSE:600028,MKT0007,oil and gas production,single_market_with_out_of_scope_estimate,0.20,Text-supported estimate from Task 3 oil production and refining/marketing notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.60,Task 3 identifies oil and gas production but says refining and marketing dominate; E&P receives a minority weight.
EXP0056,ENT003459,SHSE:600028,OUT_OF_SCOPE_CURRENT_MARKETS,,balancing_sentinel,0.80,Balancing row for refining and marketing activity outside current Theta markets,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv,2026-05-28,0.60,Out-of-scope row prevents dominant refining and marketing activity from being counted as oil and gas E&P.
EXP0057,ENT003488,SHSE:601857,MKT0007,oil and gas production,single_market_with_out_of_scope_estimate,0.50,Text-supported estimate from Task 3 large producer and integrated operations notes,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv; outputs/market_definitions_v0.csv,2026-05-28,0.70,Task 3 identifies a large oil and gas producer with integrated energy operations; E&P receives a balanced company-level weight.
EXP0058,ENT003488,SHSE:601857,OUT_OF_SCOPE_CURRENT_MARKETS,,balancing_sentinel,0.50,Balancing row for integrated energy activity outside current Theta markets,outputs/entity_market_labels_v0.csv; outputs/company_text_v0.csv; data/GSE580_theta_data.csv,2026-05-28,0.70,Out-of-scope row prevents integrated non-E&P activity from being counted as oil and gas E&P.
